year,region,quarter,kelp_area_m2
2011,ABB,1,8033
2011,CSB-CCB,3,146747
2011,EUCB,1,4626
2011,SCLB,5,162889
2011,EUCB,3,169028
2011,EUCB,4,111788
2011,EUCB,5,205498
2011,AQB,5,39442
2011,AQB,4,12049
2011,AQB,3,24851
2011,AQB,2,21608
2011,AQB,1,4932
2011,CSB-CCB,4,57422
2011,CSB-CCB,5,162076
2011,SCLB,1,31116
2011,SCLB,2,122213
2011,SCLB,3,146519
2011,SCLB,4,57237
2011,ESBB,1,4163
2011,ESBB,2,2226
2011,EUCB,2,106609
2011,ESBB,4,1901
2011,ABB,2,17663
2011,ABB,3,28636
2011,ABB,4,10342
2011,ABB,5,37377
2011,ESBB,3,5346
2011,IVWB,4,107513
2011,IVWB,5,199684
2011,ESBB,5,9075
2011,CSB-CCB,2,122213
2011,CSB-CCB,1,29996
2011,IVWB,3,164162
2011,IVWB,2,106717
2011,IVWB,1,5430
2012,AQB,4,12422
2012,CSB-CCB,3,38838
2012,CSB-CCB,2,83354
2012,CSB-CCB,1,43943
2012,IVWB,4,98402
2012,AQB,5,74660
2012,IVWB,3,39447
2012,IVWB,2,380443
2012,IVWB,1,130211
2012,AQB,1,37021
2012,AQB,2,62851
2012,AQB,3,4205
2012,IVWB,5,389282
2012,SCLB,1,43979
2012,CSB-CCB,5,98249
2012,SCLB,3,38544
2012,ABB,1,23939
2012,ABB,2,76312
2012,ABB,3,18463
2012,ABB,4,13355
2012,ABB,5,81353
2012,ESBB,5,26841
2012,ESBB,4,3935
2012,ESBB,3,11253
2012,ESBB,2,23966
2012,ESBB,1,10720
2012,EUCB,1,121198
2012,SCLB,2,84891
2012,EUCB,3,33706
2012,EUCB,4,83889
2012,EUCB,2,351239
2012,SCLB,4,25857
2012,SCLB,5,100400
2012,CSB-CCB,4,25042
2012,EUCB,5,360758
2013,EUCB,1,312687
2013,IVWB,3,272865
2013,IVWB,2,605623
2013,IVWB,1,379698
2013,ESBB,3,12776
