YEAR,MONTH,SITE,KELP_PLANTS,HOLDFASTS,kelp_area_m2,pH
2012,9,AQB,18,10,12422,8.030444444444443
2012,9,ABB,48,68,13355,7.995240740740741
2012,10,AQB,9,3,12422,8.024163677861102
2012,10,ABB,5,5,13355,7.903603082851638
2012,11,AQB,268,0,12422,8.053546296296297
2012,12,AQB,16,57,12422,8.044955197132616
2013,10,AQB,23,2,104066,8.05972706155633
2013,11,AQB,41,15,104066,8.050930555555555
2013,12,AQB,25,23,104066,8.033472222222223
2014,9,ABB,13,38,18,8.001182071528099
2014,9,AQB,76,0,239,7.995032932971717
2014,10,ABB,76,31,18,7.983023685019994
2014,10,AQB,8,4,239,8.014483164586768
2014,11,ABB,97,2,18,8.046195207481004
2014,11,AQB,60,2,239,8.03597147950089
2014,12,ABB,387,45,18,8.06554435483871
2015,9,ABB,52,0,0,7.969698025551684
2015,10,ABB,27,2,0,8.009625476564251
2015,11,ABB,48,0,0,8.037254402224281
2015,12,ABB,67,1,0,8.058068996415772
2016,9,IVWB,47,0,55305,7.960236220472441
2016,9,ABB,69,0,4453,7.991008039579468
2016,9,AQB,9,0,27056,8.020293981481482
2016,10,IVWB,54,0,55305,7.947948369565217
2016,10,AQB,34,0,27056,8.017107804750719
2016,11,IVWB,216,0,55305,7.835280276816609
2016,11,ABB,72,0,4453,7.93587358684481
2016,12,ABB,68,0,4453,7.918055555555555
2016,12,IVWB,41,0,55305,7.450082781456954
2016,12,AQB,3,0,27056,8.029512195121951
2017,9,IVWB,3,0,42651,7.812479166666666
2017,9,ABB,11,4,1834,8.035819735819736
2017,10,ABB,130,6,1834,7.988844086021505
2017,10,AQB,78,0,31141,7.937626397019691
2017,10,IVWB,172,0,42651,7.861760752688172
2017,11,ABB,31,0,1834,7.988402777777777
2017,11,IVWB,4,0,42651,7.912229166666667
2017,11,AQB,22,0,31141,7.89424537037037
2017,12,AQB,21,0,31141,7.9433870967741935
2018,9,AQB,11,0,76,7.943509513742072
2018,9,IVWB,0,0,3435,8.076972222222222
2018,9,ABB,139,5,334,7.989520833333334
2018,10,IVWB,11,0,3435,8.081296928327646
2018,10,ABB,24,0,334,8.190835016835017
2018,10,AQB,53,0,76,7.922083333333333
2018,11,ABB,32,0,334,8.000083333333334
2018,11,IVWB,376,0,3435,8.00088888888889
2018,11,AQB,41,0,76,7.989904534606205
2018,12,IVWB,15,0,3435,8.029885752688173
2018,12,AQB,0,0,76,8.029099746407438
2018,12,ABB,63,0,334,7.984269713261648
2019,9,IVWB,7,0,7882,8.014194444444446
2019,9,AQB,0,0,1456,8.01288959390863
2019,9,ABB,37,0,896,8.010451388888889
2019,10,IVWB,4,0,7882,7.918666666666667
2019,10,ABB,4,0,896,8.00398918918919
2019,10,AQB,1,0,1456,8.001500589622642
2019,11,ABB,37,0,896,8.005586805555556
2019,11,AQB,49,0,1456,7.806379629629629
2019,12,ABB,166,0,896,8.015682798275035
2019,12,AQB,37,0,1456,7.422381272401434
2020,9,ABB,95,0,16296,8.062347222222222
2020,10,ABB,72,0,16296,8.000607078853047
2020,10,AQB,22,7,17152,8.074883512544803
2020,11,AQB,31,0,17152,8.02942781979612
2020,11,ABB,80,0,16296,7.958349537037037
2020,11,AQB,39,0,17152,8.02942781979612
2020,12,AQB,28,0,17152,8.02383064516129
2020,12,ABB,662,0,16296,7.939735652959782
2021,9,AQB,109,0,12552,8.192985074626867
2021,10,AQB,6,0,12552,7.948375896057349
2021,11,AQB,22,0,12552,7.920724537037037
2021,12,AQB,1,0,12552,7.814124103942652
2022,9,ABB,129,0,9681,7.955623599701269
2022,9,AQB,19,0,17008,8.093101851851852
2022,10,AQB,17,0,17008,8.116433691756272
2022,11,AQB,47,0,17008,8.005803738317756
2022,12,AQB,29,0,17008,7.95100806451613
