YEAR,MONTH,SITE,KELP_PLANTS,HOLDFASTS
2011,9,CSB-CCB,27,6
2011,9,EUCB,33,196
2011,9,IVWB,62,48
2011,9,SCLB,9,0
2011,9,ABB,56,34
2011,9,AQB,334,32
2011,10,ABB,118,30
2011,10,CSB-CCB,4,12
2011,10,CSB-CCB,5,22
2011,10,SCLB,5,1
2011,10,AQB,140,58
2011,10,EUCB,177,120
2011,10,IVWB,190,120
2011,11,CSB-CCB,2,8
2011,11,CSB-CCB,11,14
2011,11,EUCB,224,158
2011,11,IVWB,114,42
2011,11,SCLB,10,6
2011,11,ABB,45,34
2011,11,AQB,132,38
2011,12,ABB,13,24
2011,12,CSB-CCB,2,1
2011,12,CSB-CCB,15,13
2011,12,SCLB,5,1
2011,12,EUCB,70,32
2011,12,IVWB,43,40
2011,12,AQB,5,6
2012,9,AQB,18,10
2012,9,ABB,48,68
2012,9,SCLB,4,0
2012,9,CSB-CCB,1,4
2012,9,CSB-CCB,15,3
2012,9,EUCB,55,7
2012,9,IVWB,24,1
2012,10,AQB,9,3
2012,10,EUCB,14,11
2012,10,CSB-CCB,3,0
2012,10,CSB-CCB,5,3
2012,10,IVWB,38,4
2012,10,SCLB,2,0
2012,10,ABB,5,5
2012,11,ABB,64,37
2012,11,CSB-CCB,2,1
2012,11,CSB-CCB,7,8
2012,11,SCLB,10,2
2012,11,EUCB,224,277
2012,11,IVWB,134,29
2012,11,AQB,268,0
2012,12,CSB-CCB,61,24
2012,12,SCLB,28,7
2012,12,ABB,80,10
2012,12,AQB,16,57
2012,12,EUCB,20,25
2012,12,IVWB,17,3
2013,9,ABB,3,15
2013,9,CSB-CCB,2,1
2013,9,CSB-CCB,2,2
2013,9,SCLB,0,0
2013,9,IVWB,45,14
2013,9,AQB,26,16
2013,9,EUCB,50,9
2013,10,AQB,23,2
2013,10,ABB,40,15
2013,10,CSB-CCB,15,0
2013,10,CSB-CCB,22,17
2013,10,SCLB,36,3
2013,10,EUCB,110,0
2013,10,IVWB,102,18
2013,11,ABB,64,8
2013,11,CSB-CCB,13,1
2013,11,CSB-CCB,36,0
2013,11,SCLB,7,0
2013,11,EUCB,7,0
2013,11,IVWB,51,17
2013,11,AQB,41,15
2013,12,CSB-CCB,21,5
2013,12,CSB-CCB,73,16
2013,12,IVWB,99,26
2013,12,SCLB,35,2
2013,12,ABB,126,37
2013,12,EUCB,68,39
