YEAR,MONTH,SITE,KELP_PLANTS,HOLDFASTS,SUM,kelp_area_m2,pH,count_per_m2
2012,9,AQB,18,10,28,12422,8.030444444444443,0.0022540653678956688
2012,9,ABB,48,68,116,13355,7.995240740740741,0.00868588543616623
2012,10,AQB,9,3,12,12422,8.024163677861102,0.0009660280148124296
2012,10,ABB,5,5,10,13355,7.903603082851638,0.0007487832272557095
2012,11,AQB,268,0,268,12422,8.053546296296297,0.02157462566414426
2012,12,AQB,16,57,73,12422,8.044955197132616,0.00587667042344228
2013,10,AQB,23,2,25,104066,8.05972706155633,0.00024023216035977169
2013,11,AQB,41,15,56,104066,8.050930555555555,0.0005381200392058885
2013,12,AQB,25,23,48,104066,8.033472222222223,0.00046124574789076163
2014,9,ABB,13,38,51,18,8.001182071528099,2.8333333333333335
2014,9,AQB,76,0,76,239,7.995032932971717,0.3179916317991632
2014,10,ABB,76,31,107,18,7.983023685019994,5.944444444444445
2014,10,AQB,8,4,12,239,8.014483164586768,0.0502092050209205
2014,11,ABB,97,2,99,18,8.046195207481004,5.5
2014,11,AQB,60,2,62,239,8.03597147950089,0.2594142259414226
2014,12,ABB,387,45,432,18,8.06554435483871,24.0
2016,9,IVWB,47,0,47,55305,7.960236220472441,0.0008498327456830304
2016,9,ABB,69,0,69,4453,7.991008039579468,0.01549517179429598
2016,9,AQB,9,0,9,27056,8.020293981481482,0.0003326434062684802
2016,10,IVWB,54,0,54,55305,7.947948369565217,0.0009764035801464605
2016,10,AQB,34,0,34,27056,8.017107804750719,0.0012566528681253696
2016,11,IVWB,216,0,216,55305,7.835280276816609,0.003905614320585842
2016,11,ABB,72,0,72,4453,7.93587358684481,0.01616887491578711
2016,12,ABB,68,0,68,4453,7.918055555555555,0.01527060408713227
2016,12,IVWB,41,0,41,55305,7.450082781456954,0.0007413434590000904
2016,12,AQB,3,0,3,27056,8.029512195121951,0.00011088113542282673
2017,9,IVWB,3,0,3,42651,7.812479166666666,7.033832735457551e-05
2017,9,ABB,11,4,15,1834,8.035819735819736,0.008178844056706653
2017,10,ABB,130,6,136,1834,7.988844086021505,0.07415485278080698
2017,10,AQB,78,0,78,31141,7.937626397019691,0.0025047365209851964
2017,10,IVWB,172,0,172,42651,7.861760752688172,0.004032730768328996
2017,11,ABB,31,0,31,1834,7.988402777777777,0.016902944383860415
2017,11,IVWB,4,0,4,42651,7.912229166666667,9.378443647276735e-05
2017,11,AQB,22,0,22,31141,7.89424537037037,0.0007064641469445425
2017,12,AQB,21,0,21,31141,7.9433870967741935,0.0006743521402652452
2018,9,AQB,11,0,11,76,7.943509513742072,0.14473684210526316
2018,9,IVWB,0,0,0,3435,8.076972222222222,0.0
2018,9,ABB,139,5,144,334,7.989520833333334,0.4311377245508982
2018,10,IVWB,11,0,11,3435,8.081296928327646,0.003202328966521106
2018,10,ABB,24,0,24,334,8.190835016835017,0.0718562874251497
2018,10,AQB,53,0,53,76,7.922083333333333,0.6973684210526315
2018,11,ABB,32,0,32,334,8.000083333333334,0.09580838323353294
2018,11,IVWB,376,0,376,3435,8.00088888888889,0.10946142649199418
2018,11,AQB,41,0,41,76,7.989904534606205,0.5394736842105263
2018,12,IVWB,15,0,15,3435,8.029885752688173,0.004366812227074236
2018,12,AQB,0,0,0,76,8.029099746407438,0.0
2018,12,ABB,63,0,63,334,7.984269713261648,0.18862275449101795
2019,9,IVWB,7,0,7,7882,8.014194444444446,0.0008880994671403197
2019,9,AQB,0,0,0,1456,8.01288959390863,0.0
2019,9,ABB,37,0,37,896,8.010451388888889,0.041294642857142856
2019,10,IVWB,4,0,4,7882,7.918666666666667,0.0005074854097944684
2019,10,ABB,4,0,4,896,8.00398918918919,0.004464285714285714
2019,10,AQB,1,0,1,1456,8.001500589622642,0.0006868131868131869
2019,11,ABB,37,0,37,896,8.005586805555556,0.041294642857142856
2019,11,AQB,49,0,49,1456,7.806379629629629,0.03365384615384615
2019,12,ABB,166,0,166,896,8.015682798275035,0.18526785714285715
2019,12,AQB,37,0,37,1456,7.422381272401434,0.025412087912087912
2020,9,ABB,95,0,95,16296,8.062347222222222,0.005829651448208149
2020,10,ABB,72,0,72,16296,8.000607078853047,0.004418262150220913
2020,10,AQB,22,7,29,17152,8.074883512544803,0.0016907649253731342
2020,11,AQB,31,0,31,17152,8.02942781979612,0.0018073694029850746
2020,11,ABB,80,0,80,16296,7.958349537037037,0.004909180166912126
2020,11,AQB,39,0,39,17152,8.02942781979612,0.002273787313432836
2020,12,AQB,28,0,28,17152,8.02383064516129,0.0016324626865671641
2020,12,ABB,662,0,662,16296,7.939735652959782,0.04062346588119784
2021,9,AQB,109,0,109,12552,8.192985074626867,0.008683875079668578
2021,10,AQB,6,0,6,12552,7.948375896057349,0.0004780114722753346
2021,11,AQB,22,0,22,12552,7.920724537037037,0.001752708731676227
2021,12,AQB,1,0,1,12552,7.814124103942652,7.966857871255577e-05
2022,9,ABB,129,0,129,9681,7.955623599701269,0.013325069724202046
2022,9,AQB,19,0,19,17008,8.093101851851852,0.0011171213546566322
2022,10,AQB,17,0,17,17008,8.116433691756272,0.0009995296331138288
2022,11,AQB,47,0,47,17008,8.005803738317756,0.0027634054562558795
2022,12,AQB,29,0,29,17008,7.95100806451613,0.001705079962370649
