YEAR,MONTH,SITE,KELP_PLANTS,HOLDFASTS,kelp_area_m2,pH
2011,9,CSB-CCB,27,6,57422,
2011,9,EUCB,33,196,111788,
2011,9,IVWB,62,48,107513,
2011,9,SCLB,9,0,57237,
2011,9,ABB,56,34,10342,
2011,9,AQB,334,32,12049,
2011,10,ABB,118,30,10342,
2011,10,CSB-CCB,4,12,57422,
2011,10,CSB-CCB,5,22,57422,
2011,10,SCLB,5,1,57237,
2011,10,AQB,140,58,12049,
2011,10,EUCB,177,120,111788,
2011,10,IVWB,190,120,107513,
2011,11,CSB-CCB,2,8,57422,
2011,11,CSB-CCB,11,14,57422,
2011,11,EUCB,224,158,111788,
2011,11,IVWB,114,42,107513,
2011,11,SCLB,10,6,57237,
2011,11,ABB,45,34,10342,
2011,11,AQB,132,38,12049,
2011,12,ABB,13,24,10342,
2011,12,CSB-CCB,2,1,57422,
2011,12,CSB-CCB,15,13,57422,
2011,12,SCLB,5,1,57237,
2011,12,EUCB,70,32,111788,
2011,12,IVWB,43,40,107513,
2011,12,AQB,5,6,12049,
2012,9,AQB,18,10,12422,8.030444444444443
2012,9,ABB,48,68,13355,7.995240740740741
2012,9,SCLB,4,0,25857,
2012,9,CSB-CCB,1,4,25042,
2012,9,CSB-CCB,15,3,25042,
2012,9,EUCB,55,7,83889,
2012,9,IVWB,24,1,98402,
2012,10,AQB,9,3,12422,8.024163677861102
2012,10,EUCB,14,11,83889,
2012,10,CSB-CCB,3,0,25042,
2012,10,CSB-CCB,5,3,25042,
2012,10,IVWB,38,4,98402,
2012,10,SCLB,2,0,25857,
2012,10,ABB,5,5,13355,7.903603082851638
2012,11,ABB,64,37,13355,
2012,11,CSB-CCB,2,1,25042,
2012,11,CSB-CCB,7,8,25042,
2012,11,SCLB,10,2,25857,
2012,11,EUCB,224,277,83889,
2012,11,IVWB,134,29,98402,
2012,11,AQB,268,0,12422,8.053546296296297
2012,12,CSB-CCB,61,24,25042,
2012,12,SCLB,28,7,25857,
2012,12,ABB,80,10,13355,
