year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,1385
1984,2,1320,8,1385,1385
1984,3,0,0,0,1385
1984,4,1650,26,1385,1385
1984,5,2567,29,1385,1385
1985,1,1293,14,1385,1385
1985,2,27765,64,1355,1385
1985,3,171,1,1383,1385
1985,4,15160,49,1385,1385
1985,5,42239,109,1385,1385
1986,1,2091,26,1385,1385
1986,2,328,5,1381,1385
1986,3,859,17,1380,1385
1986,4,2876,30,1385,1385
1986,5,4759,53,1385,1385
1987,1,15777,139,1385,1385
1987,2,22734,55,1180,1385
1987,3,32347,133,1350,1385
1987,4,1219,12,1385,1385
1987,5,41264,174,1385,1385
1988,1,0,0,1385,1385
1988,2,576,4,1367,1385
1988,3,4907,23,1359,1385
1988,4,24164,144,1385,1385
1988,5,26809,150,1385,1385
1989,1,72747,390,1385,1385
1989,2,39427,181,1349,1385
1989,3,1499,24,1384,1385
1989,4,31926,387,1385,1385
1989,5,83784,490,1385,1385
1990,1,44309,395,1385,1385
1990,2,147730,540,1385,1385
1990,3,10197,45,1354,1385
1990,4,0,0,2,1385
1990,5,152330,599,1385,1385
1991,1,0,0,0,1385
1991,2,182222,504,1385,1385
1991,3,87867,263,1372,1385
1991,4,94446,337,1385,1385
1991,5,204612,544,1385,1385
1992,1,32976,79,1241,1385
1992,2,102843,434,1385,1385
1992,3,198,3,1385,1385
1992,4,18770,249,1385,1385
1992,5,112517,488,1385,1385
1993,1,4811,28,1385,1385
1993,2,19733,207,1385,1385
1993,3,0,0,1384,1385
1993,4,0,0,1385,1385
1993,5,21307,210,1385,1385
1994,1,6195,65,1385,1385
1994,2,181982,627,1385,1385
1994,3,10648,57,1331,1385
1994,4,70990,546,1385,1385
1994,5,195378,752,1385,1385
1995,1,36848,218,1385,1385
1995,2,19211,266,1385,1385
1995,3,161,2,1344,1385
1995,4,99,1,1385,1385
1995,5,47853,371,1385,1385
1996,1,0,0,1245,1385
1996,2,1682,28,1385,1385
1996,3,7825,40,1374,1385
1996,4,6756,67,1385,1385
1996,5,13629,107,1385,1385
1997,1,25036,306,1385,1385
1997,2,75339,416,1385,1385
1997,3,960,13,1370,1385
1997,4,0,0,1385,1385
1997,5,78361,463,1385,1385
1998,1,2915,45,1385,1385
1998,2,51,1,1385,1385
1998,3,0,0,1350,1385
1998,4,0,0,1385,1385
1998,5,2915,45,1385,1385
1999,1,8568,67,1385,1385
1999,2,28723,102,1338,1385
1999,3,17037,82,1385,1385
1999,4,4299,95,1385,1385
1999,5,34262,159,1385,1385
2000,1,5694,76,1385,1385
2000,2,9019,132,1385,1385
2000,3,2818,43,1385,1385
2000,4,67004,608,1385,1385
2000,5,69475,631,1385,1385
2001,1,97612,610,1385,1385
2001,2,131505,633,1385,1385
2001,3,4117,73,1384,1385
2001,4,37649,471,1385,1385
2001,5,145073,723,1385,1385
2002,1,65274,500,1385,1385
2002,2,256865,943,1385,1385
2002,3,187273,815,1384,1385
2002,4,251148,931,1385,1385
2002,5,338597,1016,1385,1385
2003,1,35329,430,1385,1385
2003,2,35881,376,1385,1385
2003,3,13307,145,1384,1385
2003,4,37217,446,1385,1385
2003,5,70573,640,1385,1385
2004,1,32362,421,1385,1385
2004,2,870,18,1385,1385
2004,3,19967,112,1385,1385
2004,4,12278,132,1385,1385
2004,5,50420,501,1385,1385
2005,1,7065,51,1385,1385
2005,2,17297,235,1385,1385
2005,3,22544,191,1385,1385
2005,4,24445,288,1385,1385
2005,5,39171,374,1385,1385
2006,1,3828,93,1385,1385
2006,2,1059,7,1333,1385
2006,3,2736,32,1384,1385
2006,4,6789,147,1385,1385
2006,5,9995,195,1385,1385
2007,1,32863,306,1385,1385
2007,2,162414,754,1385,1385
2007,3,34877,438,1385,1385
2007,4,39879,368,1385,1385
2007,5,168291,778,1385,1385
2008,1,653,18,1385,1385
2008,2,8873,74,1385,1385
2008,3,13215,67,1385,1385
2008,4,13331,135,1385,1385
2008,5,20887,173,1385,1385
2009,1,94340,759,1385,1385
2009,2,170469,725,1385,1385
2009,3,50869,521,1385,1385
2009,4,11868,335,1385,1385
2009,5,177158,858,1385,1385
2010,1,20236,249,1385,1385
2010,2,49073,351,1385,1385
2010,3,80188,560,1385,1385
2010,4,27820,376,1385,1385
2010,5,89421,623,1385,1385
2011,1,8033,203,1385,1385
2011,2,17663,243,1385,1385
2011,3,28636,217,1385,1385
2011,4,10342,167,1385,1385
2011,5,37377,451,1385,1385
2012,1,23939,321,1385,1385
2012,2,76312,474,1374,1385
2012,3,18463,121,1383,1385
2012,4,13355,230,1385,1385
2012,5,81353,555,1385,1385
2013,1,146057,774,1385,1385
2013,2,210374,956,1385,1385
2013,3,123675,699,1385,1385
2013,4,102363,736,1385,1385
2013,5,257716,1059,1385,1385
2014,1,41831,444,1385,1385
2014,2,100793,567,1385,1385
2014,3,2773,32,1385,1385
2014,4,18,1,1385,1385
2014,5,109369,682,1385,1385
2015,1,388,10,1385,1385
2015,2,3940,40,1385,1385
2015,3,2968,63,1385,1385
2015,4,0,0,1385,1385
2015,5,4882,67,1385,1385
2016,1,0,0,1385,1385
2016,2,0,0,1385,1385
2016,3,0,0,1385,1385
2016,4,4453,77,1385,1385
2016,5,4453,77,1385,1385
2017,1,6073,68,1385,1385
2017,2,7410,52,1385,1385
2017,3,6102,29,1385,1385
2017,4,1834,32,1385,1385
2017,5,12097,91,1385,1385
2018,1,10913,138,1385,1385
2018,2,101601,371,1385,1385
2018,3,25380,143,1385,1385
2018,4,334,13,1385,1385
2018,5,102693,381,1385,1385
2019,1,5126,73,1385,1385
2019,2,30590,190,1385,1385
2019,3,6021,86,1385,1385
2019,4,896,30,1385,1385
2019,5,31981,229,1385,1385
2020,1,12225,75,1385,1385
2020,2,49210,185,1385,1385
2020,3,51562,156,1385,1385
2020,4,16296,208,1385,1385
2020,5,70543,318,1385,1385
2021,1,66053,502,1385,1385
2021,2,134608,624,1385,1385
2021,3,47300,285,1385,1385
2021,4,52347,387,1385,1385
2021,5,139921,676,1385,1385
2022,1,23228,258,1385,1385
2022,2,61561,442,1385,1385
2022,3,20269,211,1385,1385
2022,4,9681,179,1385,1385
2022,5,66166,493,1385,1385
2023,1,0,0,1385,1385
2023,2,886,9,1385,1385
2023,3,546,11,1385,1385
2023,4,8533,78,1385,1385
2023,5,9285,83,1385,1385
2024,1,763,34,1385,1385
2024,2,47347,223,1385,1385
2024,3,77775,221,1385,1385
