year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,1336
1984,2,67331,233,1336,1336
1984,3,0,0,0,1336
1984,4,25132,167,1336,1336
1984,5,74885,297,1336,1336
1985,1,58744,228,1336,1336
1985,2,175572,385,1293,1336
1985,3,3006,18,1230,1336
1985,4,15895,74,1336,1336
1985,5,188244,431,1336,1336
1986,1,22161,218,1336,1336
1986,2,7335,83,1336,1336
1986,3,1454,13,1336,1336
1986,4,3843,38,1336,1336
1986,5,27258,268,1336,1336
1987,1,9327,116,1336,1336
1987,2,30521,97,1332,1336
1987,3,31125,129,1325,1336
1987,4,6821,53,1336,1336
1987,5,43917,177,1336,1336
1988,1,600,8,1336,1336
1988,2,10827,46,1179,1336
1988,3,71394,217,1335,1336
1988,4,120672,471,1336,1336
1988,5,144533,481,1336,1336
1989,1,124700,765,1336,1336
1989,2,166031,659,1334,1336
1989,3,5505,78,1332,1336
1989,4,82471,610,1336,1336
1989,5,208531,862,1336,1336
1990,1,153785,705,1336,1336
1990,2,462368,922,1321,1336
1990,3,39663,177,1334,1336
1990,4,261,1,145,1336
1990,5,463718,942,1336,1336
1991,1,0,0,0,1336
1991,2,278045,904,1336,1336
1991,3,41004,145,1324,1336
1991,4,142713,572,1336,1336
1991,5,312023,940,1336,1336
1992,1,0,0,135,1336
1992,2,273611,869,1322,1336
1992,3,26238,203,1336,1336
1992,4,77072,597,1336,1336
1992,5,274753,882,1336,1336
1993,1,15534,54,1331,1336
1993,2,236920,883,1336,1336
1993,3,26829,203,1274,1336
1993,4,3591,70,1336,1336
1993,5,238602,885,1336,1336
1994,1,14934,180,1336,1336
1994,2,474733,1100,1336,1336
1994,3,65211,260,1228,1336
1994,4,58518,442,1336,1336
1994,5,476644,1104,1336,1336
1995,1,194643,474,1336,1336
1995,2,58733,645,1336,1336
1995,3,44473,347,1336,1336
1995,4,1636,14,1336,1336
1995,5,223191,762,1336,1336
1996,1,22122,109,1336,1336
1996,2,102834,624,1336,1336
1996,3,11268,124,1334,1336
1996,4,44357,366,1336,1336
1996,5,124263,720,1336,1336
1997,1,149856,693,1336,1336
1997,2,333925,876,1336,1336
1997,3,60814,402,1280,1336
1997,4,509,9,1336,1336
1997,5,341832,912,1336,1336
1998,1,57,1,1336,1336
1998,2,7792,82,1336,1336
1998,3,0,0,1312,1336
1998,4,2477,33,1336,1336
1998,5,10326,116,1336,1336
1999,1,121968,472,1336,1336
1999,2,323261,636,1205,1336
1999,3,47979,400,1336,1336
1999,4,8155,138,1336,1336
1999,5,333661,720,1336,1336
2000,1,1922,33,1336,1336
2000,2,69193,436,1318,1336
2000,3,40496,366,1336,1336
2000,4,30161,348,1336,1336
2000,5,83666,547,1336,1336
2001,1,24173,239,1336,1336
2001,2,37346,189,1336,1336
2001,3,2757,25,1336,1336
2001,4,6119,90,1336,1336
2001,5,45548,312,1336,1336
2002,1,67968,353,1336,1336
2002,2,326763,785,1336,1336
2002,3,150956,548,1336,1336
2002,4,145242,753,1336,1336
2002,5,375019,959,1336,1336
2003,1,121912,656,1336,1336
2003,2,321924,902,1336,1336
2003,3,262183,741,1336,1336
2003,4,142427,843,1336,1336
2003,5,365421,983,1336,1336
2004,1,159635,799,1336,1336
2004,2,202820,754,1336,1336
2004,3,152598,718,1336,1336
2004,4,110439,765,1336,1336
2004,5,285255,1009,1336,1336
2005,1,50077,460,1336,1336
2005,2,230439,800,1336,1336
2005,3,105857,521,1332,1336
2005,4,101280,619,1336,1336
2005,5,238039,839,1336,1336
2006,1,103490,500,1336,1336
2006,2,106248,453,1308,1336
2006,3,51587,495,1336,1336
2006,4,57038,435,1336,1336
2006,5,168954,792,1336,1336
2007,1,249163,701,1336,1336
2007,2,493783,1058,1336,1336
2007,3,10633,231,1336,1336
2007,4,98357,573,1288,1336
2007,5,495718,1058,1336,1336
2008,1,69731,502,1336,1336
2008,2,163946,793,1336,1336
