year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,1371
1984,2,51223,120,1371,1371
1984,3,0,0,0,1371
1984,4,6835,83,1371,1371
1984,5,54082,168,1371,1371
1985,1,12576,91,1371,1371
1985,2,106848,197,1369,1371
1985,3,64206,229,1371,1371
1985,4,28067,171,1371,1371
1985,5,131463,313,1371,1371
1986,1,5547,83,1371,1371
1986,2,5616,39,1371,1371
1986,3,55692,301,1371,1371
1986,4,46124,186,1371,1371
1986,5,69695,339,1371,1371
1987,1,51585,337,1371,1371
1987,2,73323,175,1371,1371
1987,3,121273,444,1371,1371
1987,4,31494,327,1371,1371
1987,5,162068,580,1371,1371
1988,1,1493,24,1371,1371
1988,2,9144,41,1371,1371
1988,3,105773,205,1369,1371
1988,4,74132,384,1371,1371
1988,5,161516,484,1371,1371
1989,1,109344,459,1371,1371
1989,2,27552,125,1371,1371
1989,3,19870,125,1371,1371
1989,4,136728,610,1371,1371
1989,5,189959,690,1371,1371
1990,1,41725,284,1371,1371
1990,2,105554,405,1371,1371
1990,3,20394,58,1368,1371
1990,4,29223,88,1368,1371
1990,5,120593,466,1371,1371
1991,1,0,0,0,1371
1991,2,110574,375,1371,1371
1991,3,86850,217,1371,1371
1991,4,122004,352,1371,1371
1991,5,180273,482,1371,1371
1992,1,0,0,0,1371
1992,2,68409,183,1367,1371
1992,3,2615,17,1371,1371
1992,4,19109,182,1371,1371
1992,5,80865,287,1371,1371
1993,1,21875,79,1371,1371
1993,2,13749,106,1371,1371
1993,3,1089,4,1371,1371
1993,4,25920,205,1371,1371
1993,5,47918,269,1371,1371
1994,1,17817,99,1371,1371
1994,2,169845,393,1371,1371
1994,3,5731,34,1369,1371
1994,4,15086,110,1371,1371
1994,5,172776,417,1371,1371
1995,1,10474,32,1371,1371
1995,2,13619,59,1371,1371
1995,3,12631,40,1370,1371
1995,4,9022,46,1371,1371
1995,5,24860,106,1371,1371
1996,1,0,0,1371,1371
1996,2,169,3,1371,1371
1996,3,43140,166,1371,1371
1996,4,66966,338,1371,1371
1996,5,83202,346,1371,1371
1997,1,33443,251,1371,1371
1997,2,91657,372,1371,1371
1997,3,1885,30,1371,1371
1997,4,0,0,1371,1371
1997,5,95662,395,1371,1371
1998,1,0,0,1371,1371
1998,2,0,0,1371,1371
1998,3,0,0,1371,1371
1998,4,643,9,1371,1371
1998,5,643,9,1371,1371
1999,1,1750,12,1371,1371
1999,2,7075,18,1369,1371
1999,3,7316,47,1371,1371
1999,4,7655,80,1371,1371
1999,5,15159,87,1371,1371
2000,1,770,15,1371,1371
2000,2,277,5,1371,1371
2000,3,74,2,1371,1371
2000,4,0,0,1371,1371
2000,5,883,17,1371,1371
2001,1,0,0,1371,1371
2001,2,0,0,1371,1371
2001,3,1751,58,1371,1371
2001,4,1012,14,1371,1371
2001,5,2489,69,1371,1371
2002,1,38,1,1371,1371
2002,2,7428,22,1371,1371
2002,3,5175,20,1371,1371
2002,4,1771,23,1371,1371
2002,5,8903,28,1371,1371
2003,1,0,0,1371,1371
2003,2,0,0,1371,1371
2003,3,469,4,1371,1371
2003,4,10442,138,1371,1371
2003,5,10593,138,1371,1371
2004,1,6936,100,1371,1371
2004,2,14874,88,1371,1371
2004,3,1444,51,1371,1371
2004,4,68306,336,1371,1371
2004,5,70173,348,1371,1371
2005,1,43623,185,1371,1371
2005,2,74919,383,1371,1371
2005,3,148651,588,1371,1371
2005,4,174354,709,1371,1371
2005,5,206831,750,1371,1371
2006,1,29558,342,1371,1371
2006,2,54166,275,1370,1371
2006,3,65970,280,1371,1371
2006,4,87051,500,1371,1371
2006,5,134590,676,1371,1371
2007,1,72417,530,1371,1371
2007,2,305248,956,1371,1371
2007,3,40889,490,1371,1371
2007,4,155331,822,1371,1371
2007,5,333038,1027,1371,1371
2008,1,8659,103,1371,1371
2008,2,102192,257,1371,1371
2008,3,87183,306,1371,1371
2008,4,66114,419,1371,1371
2008,5,166019,506,1371,1371
2009,1,184199,909,1371,1371
2009,2,163240,727,1371,1371
2009,3,6074,78,1371,1371
2009,4,25994,432,1371,1371
2009,5,218834,951,1371,1371
2010,1,29889,306,1371,1371
2010,2,47920,318,1371,1371
2010,3,163448,599,1371,1371
2010,4,62824,552,1371,1371
2010,5,188988,769,1371,1371
2011,1,29996,357,1371,1371
2011,2,122213,281,1371,1371
2011,3,146747,348,1371,1371
2011,4,57422,343,1371,1371
2011,5,162076,489,1371,1371
2012,1,43943,290,1371,1371
2012,2,83354,348,1371,1371
2012,3,38838,174,1167,1371
2012,4,25042,204,1371,1371
2012,5,98249,413,1371,1371
2013,1,89106,365,1371,1371
2013,2,126483,521,1371,1371
2013,3,71942,432,1371,1371
2013,4,105855,512,1371,1371
2013,5,153303,587,1371,1371
2014,1,31284,322,1371,1371
2014,2,54204,358,1371,1371
2014,3,9877,72,1371,1371
2014,4,5238,117,1371,1371
2014,5,70053,461,1371,1371
2015,1,932,20,1371,1371
2015,2,7263,102,1371,1371
2015,3,2341,46,1371,1371
2015,4,0,0,1371,1371
2015,5,7376,104,1371,1371
2016,1,4483,68,1371,1371
2016,2,8497,68,1359,1371
2016,3,14840,129,1371,1371
2016,4,43393,434,1371,1371
2016,5,55218,495,1371,1371
2017,1,12084,133,1371,1371
2017,2,148219,566,1371,1371
2017,3,41873,344,1367,1371
2017,4,896,46,1371,1371
2017,5,149591,569,1371,1371
2018,1,12713,199,1371,1371
2018,2,73169,398,1371,1371
2018,3,77,4,1371,1371
2018,4,0,0,1371,1371
2018,5,74464,414,1371,1371
2019,1,0,0,1371,1371
2019,2,0,0,1371,1371
2019,3,62,3,1371,1371
2019,4,0,0,1371,1371
2019,5,62,3,1371,1371
2020,1,432,8,1371,1371
2020,2,6021,15,1371,1371
