year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,2720
1984,2,173994,421,2720,2720
1984,3,0,0,0,2720
1984,4,109979,573,2720,2720
1984,5,226242,693,2720,2720
1985,1,238683,638,2720,2720
1985,2,542241,898,2692,2720
1985,3,13203,79,2720,2720
1985,4,37521,164,2720,2720
1985,5,566547,981,2720,2720
1986,1,105324,612,2720,2720
1986,2,13473,68,2720,2720
1986,3,28467,168,2720,2720
1986,4,38854,279,2720,2720
1986,5,134083,755,2720,2720
1987,1,83689,566,2720,2720
1987,2,182957,488,2720,2720
1987,3,138081,533,2719,2720
1987,4,58120,408,2720,2720
1987,5,236468,769,2720,2720
1988,1,0,0,2720,2720
1988,2,18018,103,2673,2720
1988,3,128094,510,2684,2720
1988,4,356840,1220,2720,2720
1988,5,403968,1300,2720,2720
1989,1,540364,1793,2720,2720
1989,2,92585,598,2686,2720
1989,3,2495,35,2720,2720
1989,4,212785,1561,2720,2720
1989,5,578229,1995,2720,2720
1990,1,239602,1172,2720,2720
1990,2,617306,1705,2720,2720
1990,3,8523,34,2705,2720
1990,4,459,1,307,2720
1990,5,623342,1748,2720,2720
1991,1,0,0,0,2720
1991,2,376262,1260,2720,2720
1991,3,92817,297,2677,2720
1991,4,235251,884,2720,2720
1991,5,455530,1379,2720,2720
1992,1,0,0,0,2720
1992,2,167026,541,2720,2720
1992,3,636,7,2720,2720
1992,4,28598,432,2720,2720
1992,5,177336,724,2720,2720
1993,1,3932,43,2720,2720
1993,2,83969,630,2720,2720
1993,3,248,1,2713,2720
1993,4,915,21,2720,2720
1993,5,84505,634,2720,2720
1994,1,897,15,2720,2720
1994,2,534510,1472,2720,2720
1994,3,168158,756,2675,2720
1994,4,186553,1070,2720,2720
1994,5,539799,1519,2720,2720
1995,1,127329,410,2720,2720
1995,2,54906,626,2720,2720
1995,3,36988,227,2711,2720
1995,4,1530,10,2720,2720
1995,5,158793,745,2720,2720
1996,1,0,0,2720,2720
1996,2,40735,238,2720,2720
1996,3,34273,198,2718,2720
1996,4,41020,320,2720,2720
1996,5,76500,468,2720,2720
1997,1,167340,864,2720,2720
1997,2,393190,1158,2720,2720
1997,3,1873,20,2710,2720
1997,4,0,0,2720,2720
1997,5,401322,1195,2720,2720
1998,1,9186,197,2720,2720
1998,2,1014,14,2720,2720
1998,3,0,0,2695,2720
