year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,2803
1984,2,167740,403,2803,2803
1984,3,0,0,0,2803
1984,4,119081,595,2803,2803
1984,5,228102,695,2803,2803
1985,1,257859,672,2803,2803
1985,2,561474,938,2778,2803
1985,3,12087,73,2803,2803
1985,4,44887,208,2803,2803
1985,5,590738,1045,2803,2803
1986,1,147823,821,2803,2803
1986,2,53185,211,2803,2803
1986,3,87545,355,2803,2803
1986,4,73205,451,2803,2803
1986,5,205445,1022,2803,2803
1987,1,119887,801,2803,2803
1987,2,286457,753,2803,2803
1987,3,195245,741,2803,2803
1987,4,73765,551,2803,2803
1987,5,338045,1017,2803,2803
1988,1,156,3,2803,2803
1988,2,18720,107,2778,2803
1988,3,128877,555,2772,2803
1988,4,399783,1425,2803,2803
1988,5,439946,1480,2803,2803
1989,1,523340,1774,2803,2803
1989,2,57363,417,2759,2803
1989,3,876,19,2803,2803
1989,4,203188,1466,2803,2803
1989,5,563095,1973,2803,2803
1990,1,263310,1221,2803,2803
1990,2,710690,1697,2803,2803
1990,3,11169,46,2784,2803
1990,4,459,1,166,2803
1990,5,716474,1739,2803,2803
1991,1,0,0,0,2803
1991,2,475110,1433,2803,2803
1991,3,116631,390,2755,2803
1991,4,235836,922,2803,2803
1991,5,544171,1531,2803,2803
1992,1,0,0,0,2803
1992,2,220452,801,2803,2803
1992,3,939,11,2803,2803
1992,4,40440,652,2803,2803
1992,5,234591,1058,2803,2803
1993,1,51108,259,2803,2803
1993,2,130049,933,2803,2803
1993,3,2628,14,2795,2803
1993,4,1122,25,2803,2803
1993,5,145871,943,2803,2803
1994,1,3932,70,2803,2803
1994,2,670425,1760,2803,2803
1994,3,213264,938,2768,2803
1994,4,256371,1463,2803,2803
1994,5,678000,1826,2803,2803
1995,1,166008,608,2803,2803
1995,2,99088,1018,2803,2803
1995,3,53145,311,2785,2803
1995,4,135,1,2803,2803
1995,5,219917,1136,2803,2803
1996,1,0,0,2803,2803
1996,2,37326,218,2803,2803
1996,3,35068,239,2801,2803
1996,4,45908,379,2803,2803
1996,5,79725,549,2803,2803
1997,1,201650,1092,2803,2803
1997,2,473605,1403,2803,2803
1997,3,7435,63,2781,2803
1997,4,294,4,2803,2803
1997,5,482152,1453,2803,2803
1998,1,20148,371,2803,2803
1998,2,1170,16,2803,2803
1998,3,0,0,2771,2803
1998,4,32,1,2803,2803
1998,5,20895,379,2803,2803
1999,1,125939,568,2803,2803
1999,2,325246,813,2787,2803
1999,3,44690,340,2803,2803
1999,4,6479,234,2803,2803
1999,5,333692,929,2803,2803
2000,1,27914,461,2803,2803
2000,2,82467,600,2803,2803
2000,3,46671,469,2803,2803
2000,4,126976,860,2803,2803
2000,5,163672,1086,2803,2803
2001,1,220866,981,2803,2803
2001,2,315187,1023,2803,2803
2001,3,4495,67,2797,2803
2001,4,99445,916,2803,2803
2001,5,348973,1227,2803,2803
2002,1,331960,1163,2803,2803
2002,2,661932,1553,2803,2803
2002,3,238578,1089,2803,2803
2002,4,244625,1421,2803,2803
2002,5,698294,1734,2803,2803
2003,1,115480,926,2803,2803
2003,2,314468,1277,2803,2803
2003,3,286824,1111,2802,2803
2003,4,241108,1527,2803,2803
2003,5,439163,1689,2803,2803
2004,1,347418,1522,2803,2803
2004,2,199743,1167,2803,2803
2004,3,322158,1265,2803,2803
2004,4,218500,1415,2803,2803
2004,5,497464,1803,2803,2803
2005,1,136731,1064,2803,2803
2005,2,213319,1234,2803,2803
2005,3,179846,1063,2803,2803
2005,4,153328,1070,2803,2803
2005,5,284287,1544,2803,2803
2006,1,24618,436,2803,2803
2006,2,62574,583,2803,2803
2006,3,61561,613,2803,2803
2006,4,95147,931,2803,2803
2006,5,124976,1067,2803,2803
2007,1,270184,1264,2803,2803
2007,2,834160,1922,2803,2803
2007,3,41416,757,2803,2803
2007,4,179045,1133,2803,2803
2007,5,837654,1938,2803,2803
2008,1,2771,93,2803,2803
2008,2,148497,1014,2798,2803
2008,3,91356,659,2803,2803
2008,4,201605,1243,2803,2803
2008,5,262274,1393,2803,2803
2009,1,593990,1985,2803,2803
2009,2,705369,1910,2803,2803
2009,3,26734,623,2803,2803
2009,4,28122,576,2803,2803
2009,5,753145,2038,2803,2803
2010,1,43323,610,2803,2803
2010,2,171183,977,2803,2803
2010,3,346955,1274,2803,2803
2010,4,9526,280,2803,2803
2010,5,356146,1366,2803,2803
2011,1,5430,266,2803,2803
2011,2,106717,697,2803,2803
2011,3,164162,706,2798,2803
