year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,1587
1984,2,51223,120,1587,1587
1984,3,0,0,0,1587
1984,4,6533,76,1587,1587
1984,5,53780,161,1587,1587
1985,1,11364,85,1587,1587
1985,2,94410,178,1587,1587
1985,3,58635,211,1587,1587
1985,4,28710,170,1587,1587
1985,5,119484,295,1587,1587
1986,1,5860,85,1587,1587
1986,2,6224,43,1587,1587
1986,3,52792,289,1587,1587
1986,4,42869,175,1587,1587
1986,5,66291,326,1587,1587
1987,1,51895,359,1587,1587
1987,2,70290,174,1587,1587
1987,3,123184,446,1587,1587
1987,4,33606,349,1587,1587
1987,5,163163,605,1587,1587
1988,1,1493,24,1587,1587
1988,2,9144,41,1587,1587
1988,3,97007,193,1587,1587
1988,4,80116,439,1587,1587
1988,5,162081,539,1587,1587
1989,1,141639,613,1587,1587
1989,2,35202,194,1587,1587
1989,3,17846,114,1587,1587
1989,4,135492,673,1587,1587
1989,5,220389,844,1587,1587
1990,1,56886,413,1587,1587
1990,2,161020,562,1587,1587
1990,3,20394,58,1360,1587
1990,4,29223,88,1543,1587
1990,5,176634,633,1587,1587
1991,1,0,0,0,1587
1991,2,139386,469,1587,1587
1991,3,108891,286,1587,1587
1991,4,139392,421,1587,1587
1991,5,213099,580,1587,1587
1992,1,0,0,0,1587
1992,2,79299,250,1583,1587
1992,3,2615,17,1587,1587
1992,4,19226,184,1587,1587
1992,5,91755,354,1587,1587
1993,1,21875,79,1587,1587
1993,2,13953,111,1587,1587
1993,3,1089,4,1587,1587
1993,4,25557,201,1587,1587
1993,5,47759,270,1587,1587
1994,1,14871,85,1587,1587
1994,2,162355,413,1587,1587
1994,3,4583,26,1587,1587
1994,4,15537,114,1587,1587
1994,5,165532,440,1587,1587
1995,1,10768,35,1587,1587
1995,2,14274,69,1587,1587
1995,3,12631,40,1587,1587
1995,4,8529,42,1587,1587
1995,5,25113,112,1587,1587
1996,1,0,0,1587,1587
1996,2,169,3,1587,1587
1996,3,42198,160,1587,1587
1996,4,64944,326,1587,1587
1996,5,81141,334,1587,1587
1997,1,32988,252,1587,1587
1997,2,87102,359,1587,1587
1997,3,1885,30,1587,1587
1997,4,0,0,1587,1587
1997,5,91736,393,1587,1587
1998,1,0,0,1587,1587
1998,2,0,0,1587,1587
1998,3,0,0,1585,1587
1998,4,32,1,1587,1587
1998,5,32,1,1587,1587
1999,1,0,0,1587,1587
1999,2,703,4,1587,1587
1999,3,5736,35,1587,1587
1999,4,7302,72,1587,1587
1999,5,8735,72,1587,1587
2000,1,770,15,1587,1587
2000,2,277,5,1587,1587
2000,3,74,2,1587,1587
2000,4,0,0,1587,1587
2000,5,883,17,1587,1587
2001,1,0,0,1587,1587
2001,2,0,0,1587,1587
2001,3,1751,58,1587,1587
2001,4,441,4,1587,1587
2001,5,1918,59,1587,1587
2002,1,325,3,1587,1587
2002,2,3087,19,1587,1587
2002,3,3621,18,1587,1587
2002,4,1402,19,1587,1587
2002,5,4948,29,1587,1587
2003,1,106,4,1587,1587
2003,2,79,3,1587,1587
2003,3,311,2,1587,1587
2003,4,9813,130,1587,1587
2003,5,10149,137,1587,1587
2004,1,6936,100,1587,1587
2004,2,14874,88,1587,1587
2004,3,1444,51,1587,1587
2004,4,68152,333,1587,1587
2004,5,70019,345,1587,1587
2005,1,43623,185,1587,1587
2005,2,74919,383,1587,1587
2005,3,148651,588,1587,1587
2005,4,174354,709,1587,1587
2005,5,206831,750,1587,1587
2006,1,29558,342,1587,1587
2006,2,54166,275,1583,1587
2006,3,65970,280,1587,1587
2006,4,86875,495,1587,1587
2006,5,134414,671,1587,1587
2007,1,72274,525,1587,1587
2007,2,301856,942,1587,1587
2007,3,40889,490,1587,1587
2007,4,155331,822,1587,1587
2007,5,329646,1013,1587,1587
2008,1,8659,103,1587,1587
2008,2,102192,257,1587,1587
2008,3,87183,306,1587,1587
2008,4,65447,413,1587,1587
2008,5,165352,500,1587,1587
2009,1,183132,925,1587,1587
2009,2,159025,728,1587,1587
2009,3,5800,70,1587,1587
2009,4,26013,433,1587,1587
2009,5,215284,970,1587,1587
2010,1,30777,323,1587,1587
2010,2,55948,395,1587,1587
2010,3,165526,620,1587,1587
2010,4,63446,574,1587,1587
2010,5,197227,850,1587,1587
2011,1,31116,378,1587,1587
2011,2,122213,281,1587,1587
2011,3,146519,344,1587,1587
2011,4,57237,339,1587,1587
2011,5,162889,504,1587,1587
2012,1,43979,291,1587,1587
2012,2,84891,359,1587,1587
2012,3,38544,169,1383,1587
2012,4,25857,216,1587,1587
2012,5,100400,433,1587,1587
2013,1,104701,449,1587,1587
2013,2,150480,628,1587,1587
2013,3,75577,461,1587,1587
2013,4,113828,602,1587,1587
2013,5,179702,713,1587,1587
2014,1,40735,403,1587,1587
2014,2,57377,396,1587,1587
2014,3,9793,69,1587,1587
2014,4,5224,116,1587,1587
2014,5,79027,545,1587,1587
2015,1,932,20,1587,1587
2015,2,7040,94,1587,1587
2015,3,2219,43,1587,1587
2015,4,0,0,1587,1587
2015,5,7127,96,1587,1587
2016,1,4483,68,1587,1587
2016,2,8497,68,1575,1587
2016,3,14840,129,1587,1587
2016,4,43335,431,1587,1587
2016,5,55160,492,1587,1587
2017,1,12054,132,1587,1587
2017,2,148192,565,1587,1587
2017,3,41963,345,1577,1587
2017,4,896,46,1587,1587
2017,5,149624,568,1587,1587
2018,1,12538,193,1587,1587
2018,2,70402,392,1587,1587
2018,3,0,0,1587,1587
2018,4,0,0,1587,1587
2018,5,71697,408,1587,1587
2019,1,24,1,1587,1587
2019,2,0,0,1587,1587
2019,3,83,2,1587,1587
2019,4,0,0,1587,1587
2019,5,107,3,1587,1587
2020,1,0,0,1587,1587
2020,2,0,0,1587,1587
2020,3,250,4,1587,1587
2020,4,153,6,1587,1587
2020,5,316,7,1587,1587
2021,1,8979,167,1587,1587
2021,2,76709,244,1587,1587
2021,3,2535,28,1587,1587
2021,4,4171,128,1587,1587
2021,5,79762,322,1587,1587
2022,1,5420,108,1587,1587
2022,2,60705,310,1587,1587
2022,3,8300,134,1587,1587
2022,4,2585,81,1587,1587
2022,5,60722,311,1587,1587
2023,1,0,0,1587,1587
2023,2,59,1,1587,1587
2023,3,38,1,1587,1587
2023,4,0,0,1587,1587
2023,5,97,2,1587,1587
2024,1,0,0,1587,1587
2024,2,0,0,1587,1587
2024,3,6598,64,1587,1587
